Sentence,Action,Room,Object
drive near the kitchen,go,kitchen,unknown
fetch a soda in the pantry,get,kitchen,soda
go towards the orange in the bathroom,go,bathroom,orange
report every detail tomato,describe,unknown,tomato
what are are the orange near the sitting room,question,living room,orange
look for the object from the my room,get,bedroom,unknown
move over to the sitting room,go,living room,unknown
fetch me some banana,get,unknown,banana
move toward the water around the pantry,go,kitchen,water
put back an apple around the bath,place,bathroom,apple
throw out the tuna near the bedroom,place,bedroom,tuna
proceed by the crackers around the bath,go,bathroom,crackers
throw out the corn around the pantry,place,kitchen,corn
how are the tomato by the parlor,question,living room,tomato
specify in details soda,describe,unknown,soda
find me a soda from the my room,get,bedroom,soda
navigate towards the beverage in the bedroom,go,bedroom,beverage
tidy a water,place,unknown,water
get the object inside the parlor,get,living room,unknown
present every detail tomato in the bath,describe,bathroom,tomato
what is are the carrots near the parlor,question,living room,carrots
navigate over to the orange inside the bath,go,bathroom,orange
proceed toward the water in the canteen,go,kitchen,water
head over by the tomato inside the pantry,go,kitchen,tomato
could is the thing close to the living room,question,living room,unknown
what are is the beverage in the bath,question,bathroom,beverage
retrieve some thing close to the bath,get,bathroom,unknown
throw away an object around the pantry,place,kitchen,unknown
take a banana near the bath,place,bathroom,banana
clean up an apple in the bath,place,bathroom,apple
move over by the bedroom,go,bedroom,unknown
what is is the apple in the bathroom,question,bathroom,apple
drive by the carrots near the bedroom,go,bedroom,carrots
explain what's there thing from the parlor,describe,living room,unknown
clear away a banana,place,unknown,banana
could you do crackers near the sitting room,question,living room,crackers
clean up a chips near the kitchen,place,kitchen,chips
explain every detail thing inside the bedroom,describe,bedroom,unknown
what is is the object by the bathroom,question,bathroom,unknown
head over by the banana from the living room,go,living room,banana
fetch the soda,get,unknown,soda
explain every detail tomato in the sitting room,describe,living room,tomato
answer you do peas in the pantry,question,kitchen,peas
fetch a water by the my room,get,bedroom,water
express what you see carrots around the my room,describe,bedroom,carrots
move near the living room,go,living room,unknown
proceed over to the parlor,go,living room,unknown
clean a banana from the bathroom,place,bathroom,banana
clean up a peas from the sitting room,place,living room,peas
look for the banana,get,unknown,banana
what is you tell banana,question,unknown,banana
proceed near the cookies close to the canteen,go,kitchen,cookies
describe everything you see cookies inside the bathroom,describe,bathroom,cookies
question are the apple from the pantry,question,kitchen,apple
throw away a tuna from the living room,place,living room,tuna
proceed over by the orange near the living room,go,living room,orange
navigate to the carrots around the parlor,go,living room,carrots
what are is the thing inside the my room,question,bedroom,unknown
retrieve a crackers inside the bedroom,get,bedroom,crackers
search for an item by the my room,get,bedroom,unknown
take the beverage near the my room,place,bedroom,beverage
locate a tuna near the pantry,get,kitchen,tuna
where you do apple,question,unknown,apple
head toward the tomato near the bathroom,go,bathroom,tomato
drive to the orange from the bath,go,bathroom,orange
go by the tuna,go,unknown,tuna
navigate toward the carrots near the my room,go,bedroom,carrots
get a carrots around the kitchen,get,kitchen,carrots
drive over by the banana close to the sitting room,go,living room,banana
tidy a tuna near the canteen,place,kitchen,tuna
tell everything you see object by the canteen,describe,kitchen,unknown
tidy up a peas in the bedroom,place,bedroom,peas
throw away the tomato by the bedroom,place,bedroom,tomato
proceed to the crackers close to the sitting room,go,living room,crackers
take a soda near the bedroom,place,bedroom,soda
what is are the object around the bathroom,question,bathroom,unknown
put back the vegetables close to the canteen,place,kitchen,vegetables
go by the parlor,go,living room,unknown
present what's there apple by the living room,describe,living room,apple
describe what's there crackers near the my room,describe,bedroom,crackers
tell what you see peas from the parlor,describe,living room,peas
identify the tuna inside the bath,get,bathroom,tuna
retrieve an item by the parlor,get,living room,unknown
retrieve a water in the canteen,get,kitchen,water
head over by the soda inside the kitchen,go,kitchen,soda
head towards the pantry,go,kitchen,unknown
throw out a chips close to the bath,place,bathroom,chips
explain every detail orange,describe,unknown,orange
move towards the my room,go,bedroom,unknown
explain what you see apple near the bedroom,describe,bedroom,apple
head near the orange in the sitting room,go,living room,orange
put back a thing inside the sitting room,place,living room,unknown
take the chips by the bathroom,place,bathroom,chips
report in details banana,describe,unknown,banana
describe in details corn,describe,unknown,corn
look for some water in the bath,get,bathroom,water
would you do banana,question,unknown,banana
where you do cookies close to the canteen,question,kitchen,cookies
clear away a cookies,place,unknown,cookies
go by the cookies inside the canteen,go,kitchen,cookies
grab some banana inside the canteen,get,kitchen,banana
tidy a tomato around the bathroom,place,bathroom,tomato
where you tell orange inside the my room,question,bedroom,orange
present what you see orange inside the bathroom,describe,bathroom,orange
store a water inside the sitting room,place,living room,water
navigate near the apple by the pantry,go,kitchen,apple
proceed over to the orange,go,unknown,orange
throw out the crackers around the canteen,place,kitchen,crackers
tell in details soda inside the living room,describe,living room,soda
put back the orange close to the sitting room,place,living room,orange
retrieve the orange,get,unknown,orange
move to the beverage,go,unknown,beverage
go toward the bedroom,go,bedroom,unknown
question is the beverage by the canteen,question,kitchen,beverage
question are the apple around the sitting room,question,living room,apple
grab an object near the pantry,get,kitchen,unknown
could are the corn inside the living room,question,living room,corn
would are the carrots near the living room,question,living room,carrots
go near the tuna near the kitchen,go,kitchen,tuna
would you do banana,question,unknown,banana
describe everything you see soda near the bathroom,describe,bathroom,soda
